player,colab_idx
1,0.0010234582257118857
2050,0.09535145621929111
3,0.0061815046754985815
6921,0.0015046690227106636
13,0.008718541828261496
910,0.0015540429171330974
1683,0.06996468039431708
9,0.04210906933257936
149,0.7930665892356831
1942,0.009599781289998032
4644,0.222684080714052
3767,0.0
1083,0.755237331414812
60,0.023454844548656973
1098,0.5232679071854974
117,0.002234604269416886
1216,0.0
1217,0.0032467094138588486
1091,0.0021415612222303935
3786,0.21568955892222194
845,0.0
718,0.00441377409566445
2127,0.06639377114419136
6481,0.00365898649588007
1235,0.10595423874399112
1236,0.13934922174513992
78,0.48953677199769496
472,2.4418126110964542e-05
2012,0.006666913906833113
991,0.1969021538561222
992,0.03538759958097355
2017,0.07032618940314012
867,0.004427383368596406
742,0.029445719156602587
870,0.0006758768235212063
2001,0.005707370825045481
1282,0.01768315344717108
5996,0.002345287349978356
621,0.011331675460705862
880,0.00033503873628820024
3942,0.022984915901668075
505,0.19987630033851986
3793,0.3153771478773577
3818,0.43268648675299665
